"x","y","z","xy","xz","yz","x^2","y^2","z^2"
-9.55998366966564,-11.1825470634516,34.4394460908343,106.904967311865,-329.240542220706,-385.120726749959,91.3932877642737,125.04935882631,1186.07544704348
-9.72224000904424,-10.4551115981164,34.5901105348641,101.64710427823,-336.293356559318,-361.643465833186,94.5219507934605,109.309358529068,1196.47574681411
-9.79552716795146,-9.70985411907446,34.68417863005,95.1131398202392,-339.749814068736,-336.778314737705,95.9523524980751,94.2812670137072,1202.99224724122
-9.78695986306376,-8.95800504422276,34.7103985981177,87.6716358209308,-339.709277910723,-310.935925728921,95.7845833612209,80.2458543723204,1204.81177084021
-9.70406438117966,-8.21168097633116,34.6615043270439,79.6866808720258,-336.357469538171,-284.629215693406,94.1688655140797,67.4317044570391,1201.41988221368
-9.55482604069481,-7.48312749791644,34.5340643537096,71.4999814829314,-329.966977377855,-258.422806580061,91.2947006679396,55.9971971500732,1192.60160078616
-9.34765618641697,-6.78397774055327,34.3281557857734,63.4142914949978,-320.88779779917,-232.881444724931,87.3786761794594,46.0223539843223,1178.42227965232
-9.0912883418306,-6.12460371735279,34.0468812131027,55.6805383739018,-309.530014248372,-208.523655242038,82.651523714305,37.5107706946117,1159.19012033913
-8.79461987938282,-5.51361827340811,33.6957697644923,48.4901768746434,-296.341486621911,-185.785611910057,77.3453388228355,30.3999864648599,1135.40490002167
-8.46651971878535,-4.95756079068211,33.2821176728523,41.9732861913872,-281.783705560138,-164.998121605801,71.6819561485812,24.5774089933087,1107.69935678959
-8.11562382597503,-4.46077364843381,32.8143273968234,36.201960903511,-266.308737255005,-146.37728694283,65.8633500847335,19.8985015425615,1076.78008250592
-7.75013880822091,-4.02545321067243,32.3012982752766,31.1978211487098,-250.33954531914,-130.0273648511,60.0646515466917,16.2042735513129,1043.37387026839
-7.37767024846606,-3.65184209167615,31.7519085327563,26.9420867518552,-234.255110914132,-115.952956070971,54.4300182951012,13.3359506625377,1008.18369547252
-7.00508743278707,-3.33852023118857,31.1746118394014,23.3866261156044,-218.380881618205,-104.077072325292,49.0712499409913,11.1457173340554,971.856423337343
-6.63843071262722,-3.08275069387501,30.5771551181734,20.4646268855927,-202.984325641249,-94.2617461572728,44.0687623263523,9.50335184058686,934.962415120835
-6.282862710752,-2.8808405300594,29.966410583878,18.0999255419332,-188.274843632531,-86.3284501504366,39.4743638421579,8.2992421596329,897.985763281555
-5.94266049268274,-2.72848524744405,29.3483055570606,16.2144614848534,-174.407015961125,-80.0764187499201,35.3152137312922,7.44463174551982,861.323039070593
-5.62124296815887,-2.62107517330953,28.7278286903875,14.733700386982,-161.486105016313,-75.2977985634638,31.5983725070755,6.87003506413956,825.288141264251
-5.32122618867393,-2.55395140249778,28.1090902625137,13.5901530875717,-149.574827244687,-71.7892504988834,28.3154481510293,6.52266776632038,790.12095538614
-5.04449871005632,-2.52260694885463,27.4954160530557,12.7252874994763,-138.700590812101,-69.3601275970875,25.4469672357599,6.36354581840968,755.997903930632
-4.79230953393615,-2.52283461006084,26.8894578333023,12.0902043543387,-128.862605136909,-67.8376548676267,22.9662306690553,6.36469446972085,723.042942568942
-4.56536204154862,-2.55082688209327,26.2933076679576,11.6454482220704,-120.038468774053,-67.0696760185754,20.842530570413,6.50671778240967,691.338028121879
-4.36390852560308,-2.60323529716542,25.7086072790328,11.3602807074511,-112.190010486353,-66.925553909742,19.0436976198313,6.77683401240794,660.932488227537
-4.18784120275932,-2.6771972264991,25.1366472253331,11.2116768530459,-105.268286949476,-67.2957622351481,17.5380139395286,7.1673849895745,631.851033730845
-4.0367768051333,-2.77033792151197,24.578453401188,11.1832358639407,-99.2177305959653,-68.0906215094259,16.2955669744622,7.67477219936724,604.10037159437
-3.91013291677116,-2.88075474177452,24.0348603357957,11.2641339409572,-93.9794985489925,-69.2385378802318,15.2891394268174,8.29874788225637,577.674511361206
-3.8071950992715,-3.00698942556277,23.5065720662507,11.4481954045638,-89.4941059713021,-70.6840136344453,14.4947345239169,9.04198540544634,552.55893030584
-3.72717453190063,-3.14799309939014,22.9942120985297,11.7331197066459,-85.7034417147611,-72.3856210120848,13.8918299912487,9.90986055380797,528.733790032169
-3.66925638864958,-3.30308762018081,22.498364306302,12.1198753526178,-82.5522669650643,-74.3140686144639,13.4634424456457,10.9103878265917,506.176396459085
-3.6326395118027,-3.47192586315024,22.0196066783268,12.6122550725292,-79.9892932540446,-76.4504419228786,13.1960698227102,12.0542691992115,484.863078268215
-3.61656814693745,-3.65445273528305,21.5585397176301,13.2165773569131,-77.9679280372669,-78.7846644398013,13.0795651614426,13.3550247944177,464.770634756633
-3.62035660577201,-3.85086800870003,21.1158110987291,13.9415154332533,-76.4467661975177,-81.3142014378488,13.1069819529571,14.8291844204294,445.877478357209
-3.64340774606482,-4.06159151625402,20.6921379570955,14.798033991671,-75.3898957155235,-84.0430119796968,13.2744200040851,16.4965256449066,428.164573235471
-3.68522612308374,-4.28723081283439,20.2883279514896,15.7994149871468,-74.7670761605196,-86.9807447345157,13.5808915782588,18.3803480425166,411.616251067196
-3.7454265920588,-4.5285510575643,19.9053000226547,16.9613555544973,-74.5538400277596,-90.1421674687277,14.0282203565012,20.5077746809667,396.220968991898
-3.82373903860935,-4.78644659248752,19.5441055775956,18.3021226919132,-74.7315594717549,-93.5468175450987,14.6209802353852,22.9100709827354,381.972062828202
-3.92000979399717,-5.06191346265572,19.2059506557788,19.8427503499765,-75.2875146736793,-97.2188601875882,15.3664767850337,25.6229679034152,368.868540592211
-4.03420016086302,-5.35602192361157,18.8922194751245,21.6072645058197,-76.2149948456067,-101.187141694448,16.2747709379072,28.6869708462078,356.915956696273
-4.16638233713788,-5.66988780096104,18.604499600846,23.6229203874776,-77.5134585282536,-105.485425329821,17.3587417792145,32.1476276754868,346.12740539788
-4.31673288352019,-6.0046413920675,18.3446088153649,25.9204329508842,-79.1887761086002,-110.152797414026,18.6341827876646,36.0557182473303,336.524672588764
-4.48552373437493,-6.36139242444647,18.114623576464,28.5341767035275,-81.253573991497,-115.234229191018,20.1199231716408,40.467313577805,328.139587316986
-4.67311060338208,-6.74118940591202,17.9169087147936,31.5023236921744,-83.7276960949307,-120.781275214859,21.837962711442,45.4436346063804,321.015617894247
-4.87991848363507,-7.14497151985057,17.7541477193208,34.866878584765,-86.6387936167012,-126.852879813767,23.8136044069232,51.0506180194758,315.209761239465
-5.10642378725662,-7.57351104390288,17.6293725659866,38.6735569476364,-90.0230474253633,-133.516247825578,26.0755638950603,57.3580695321188,310.794777070361
-5.35313251292125,-8.02734411964207,17.5459915337033,42.9714367992632,-93.9260177505083,-140.847711961363,28.6560277008946,64.4382536151521,307.861818900789
-5.62055367359333,-8.50668760455852,17.5078127941305,47.8122942659122,-98.4036015166347,-148.933494078761,31.5906235977435,72.3637340015495,306.523508834321
-5.90916706668985,-9.01133974195272,17.5190607289462,53.2495120299004,-103.523056698828,-157.870208188436,34.9182554220519,81.2042439448965,306.917488824504
-6.21938433421614,-9.54056255621807,17.5843808964733,59.3364253017517,-109.364023074415,-167.764885955169,38.6807414966931,91.0223338891102,309.210451512255
-6.55150215641633,-10.0929443134923,17.7088283255848,66.1239464344344,-116.019426962676,-178.734218147322,42.9221805055278,101.867524915256,313.602600665036
-6.90564637212392,-10.6662412045271,17.8978323679136,73.6572898782416,-123.596101160365,-190.90259707436,47.6879518168283,113.768701433153,320.332403469936
-7.28170585536424,-11.2571987650729,18.157129736885,81.9716101626306,-132.214877921684,-204.39841845133,53.0232401640459,126.724524036359,329.681360282073
-7.67925514633511,-11.8613556377073,18.4926557121944,91.0863763233751,-142.009821547272,-219.347966088017,58.9709596025143,140.691757564172,341.978315289754
-8.09746519547233,-12.4728353068314,18.9103819897696,100.998349785926,-153.126159995246,-235.866080147666,65.5689425918858,155.57162059134,357.602546999002
-8.53500220660824,-13.0841356085429,19.4160886345683,111.673126290475,-165.716359339742,-254.04273668218,72.8462626668075,171.194604622739,376.984497865413
